  no.      freq.      period     coherency     phase     Gain relative to 2
   96    0.01835    54.50000     0.8339615   177.746     0.8339581
   97    0.01854    53.93814     0.7691938   175.617     0.8391904
   98    0.01873    53.38776     0.7668831   174.169     0.8606255
   99    0.01892    52.84848     0.7769721   174.084     0.8275325
  100    0.01911    52.32000     0.7781036   175.461     0.8353755
  101    0.01930    51.80198     0.8317584   176.013     0.9479123
  102    0.01950    51.29412     0.8616128   175.323     0.9629584
  103    0.01969    50.79612     0.8350770   173.868     0.9053656
  104    0.01988    50.30769     0.7616673   170.566     0.8462572
  105    0.02007    49.82857     0.6716424   166.846     0.7651135
  106    0.02026    49.35849     0.6502190   166.816     0.7254454
  107    0.02045    48.89720     0.7536591   169.188     0.8590229
  108    0.02064    48.44444     0.8467680   170.899     1.0266068
  109    0.02083    48.00000     0.8744540   171.985     1.0834254
  110    0.02102    47.56364     0.8373568   170.878     0.9907025
  111    0.02122    47.13514     0.7791771   168.360     0.9138269
  112    0.02141    46.71429     0.7653416   169.780     0.9540868
  113    0.02160    46.30088     0.7693090   172.351     0.9558225
  114    0.02179    45.89474     0.7510031   171.437     0.8836216
  115    0.02198    45.49565     0.7066254   168.946     0.8076478
  116    0.02217    45.10345     0.6901343   172.840     0.7899784
  117    0.02236    44.71795     0.7455345   179.519     0.8903243
  118    0.02255    44.33898     0.7905106   181.674     1.0032065
  119    0.02274    43.96638     0.7783881   179.679     1.0245029
  120    0.02294    43.60000     0.7256153   173.870     0.9500452
  121    0.02313    43.23967     0.6272416   165.729     0.8021593
  122    0.02332    42.88525     0.4806532   158.743     0.6009477
  123    0.02351    42.53659     0.4541939   168.122     0.6054032
  124    0.02370    42.19355     0.5864015   178.117     0.8470487
  125    0.02389    41.85600     0.6268743   176.690     0.8880193
  126    0.02408    41.52381     0.5531043   166.667     0.7608126
  127    0.02427    41.19685     0.5170605   160.745     0.6932233
  128    0.02446    40.87500     0.5217313   163.419     0.6698990
  129    0.02466    40.55814     0.4642331   163.650     0.6162259
  130    0.02485    40.24615     0.3683819   158.299     0.5286098
  131    0.02504    39.93893     0.3999450   160.379     0.5593151
  132    0.02523    39.63636     0.5112227   169.204     0.6463379
  133    0.02542    39.33834     0.5847903   176.171     0.6839502
  134    0.02561    39.04478     0.6136205   179.016     0.7133877
  135    0.02580    38.75555     0.6607498   178.054     0.7704876
  136    0.02599    38.47059     0.7305483   178.566     0.8289781
  137    0.02619    38.18978     0.7372933   179.207     0.8344418
  138    0.02638    37.91304     0.6347240   177.785     0.7311382
  139    0.02657    37.64029     0.4988401   175.215     0.6120403
  140    0.02676    37.37143     0.4767235   174.183     0.6307539
  141    0.02695    37.10638     0.5250201   173.390     0.6693632
  142    0.02714    36.84507     0.5544503   173.705     0.6439105
  143    0.02733    36.58741     0.5460094   174.772     0.5876560
  144    0.02752    36.33333     0.5219855   172.614     0.5534109
  145    0.02771    36.08276     0.5098848   168.275     0.5905778
  146    0.02791    35.83562     0.5203909   167.159     0.6505122
  147    0.02810    35.59184     0.5528790   170.884     0.6701024
  148    0.02829    35.35135     0.5790616   175.402     0.6576247
  149    0.02848    35.11409     0.5482739   175.513     0.5679438
  150    0.02867    34.88000     0.4821223   170.836     0.4432659
  151    0.02886    34.64901     0.4626985   169.663     0.4099758
  152    0.02905    34.42105     0.4805548   172.024     0.4249972
  153    0.02924    34.19608     0.4641638   170.573     0.3928673
  154    0.02943    33.97403     0.4304026   169.491     0.3522183
  155    0.02963    33.75484     0.4069110   171.778     0.3349543
  156    0.02982    33.53846     0.4046699   174.328     0.3448713
  157    0.03001    33.32484     0.4082076   177.689     0.3452037
  158    0.03020    33.11393     0.4076429   180.774     0.3361917
  159    0.03039    32.90566     0.4166063   180.328     0.3537319
  160    0.03058    32.70000     0.4206283   177.729     0.3615527
  161    0.03077    32.49689     0.3848239   175.045     0.3113751
  162    0.03096    32.29630     0.3211763   173.027     0.2378828
  163    0.03115    32.09816     0.2917537   170.136     0.2104056
  164    0.03135    31.90244     0.3072031   169.092     0.2295929
  165    0.03154    31.70909     0.3226217   171.278     0.2406178
  166    0.03173    31.51807     0.3011130   171.985     0.2069770
  167    0.03192    31.32934     0.2608038   169.787     0.1621172
  168    0.03211    31.14286     0.2541389   169.022     0.1512598
  169    0.03230    30.95858     0.2591764   172.162     0.1509928
  170    0.03249    30.77647     0.2588187   177.561     0.1437130
  171    0.03268    30.59649     0.2764921   179.873     0.1479442
  172    0.03287    30.41860     0.3001240   179.173     0.1594990
  173    0.03307    30.24277     0.3059242   179.072     0.1559989
  174    0.03326    30.06897     0.2891706   178.557     0.1342500
  175    0.03345    29.89714     0.2608624   177.662     0.1101231
  176    0.03364    29.72727     0.2487711   177.527     0.0985096
  177    0.03383    29.55932     0.2544981   176.050     0.0997167
  178    0.03402    29.39326     0.2422574   173.841     0.1007267
  179    0.03421    29.22905     0.2157701   172.748     0.1015070
  180    0.03440    29.06667     0.2082303   174.057     0.1059538
  181    0.03459    28.90608     0.2093830   176.614     0.1002906
  182    0.03479    28.74725     0.2021289   178.703     0.0835891
  183    0.03498    28.59016     0.1910808   180.582     0.0720289
  184    0.03517    28.43478     0.1927551   181.401     0.0702697
  185    0.03536    28.28108     0.1850156   180.508     0.0711630
  186    0.03555    28.12903     0.1393407   180.492     0.0657699
  187    0.03574    27.97861     0.1038408   179.505     0.0586405
  188    0.03593    27.82979     0.1081184   174.303     0.0609392
  189    0.03612    27.68254     0.1493714   171.441     0.0698274
  190    0.03631    27.53684     0.1962729   172.460     0.0741361
  191    0.03651    27.39267     0.2091593   173.532     0.0763923
  192    0.03670    27.25000     0.2025870   172.887     0.0815381
  193    0.03689    27.10881     0.1555742   172.945     0.0875858
  194    0.03708    26.96907     0.1125801   177.742     0.0888322
  195    0.03727    26.83077     0.0972759   184.730     0.0816897
  196    0.03746    26.69388     0.1092165   186.355     0.0710229
  197    0.03765    26.55838     0.1575463   182.481     0.0658064
  198    0.03784    26.42424     0.1967800   179.697     0.0665536
  199    0.03804    26.29146     0.2078861   177.681     0.0708814
  200    0.03823    26.16000     0.1846862   174.245     0.0789368
  201    0.03842    26.02985     0.1217372   172.725     0.0988091
  202    0.03861    25.90099     0.0986570   176.260     0.1220772
  203    0.03880    25.77340     0.0883124   181.988     0.1144598
  204    0.03899    25.64706     0.0889324   186.671     0.0828354
  205    0.03918    25.52195     0.1332456   185.475     0.0666561
  206    0.03937    25.39806     0.1813589   181.869     0.0669451
  207    0.03956    25.27536     0.1809102   180.170     0.0665157
  208    0.03976    25.15385     0.1744646   179.230     0.0640827
  209    0.03995    25.03349     0.1621203   177.358     0.0611406
  210    0.04014    24.91429     0.1458736   174.264     0.0603962
  211    0.04033    24.79621     0.1489844   173.018     0.0670096
  212    0.04052    24.67924     0.1674979   173.735     0.0773415
  213    0.04071    24.56338     0.1767690   173.692     0.0844694
  214    0.04090    24.44860     0.1830432   173.295     0.0898802
  215    0.04109    24.33488     0.1576298   173.803     0.1020636
  216    0.04128    24.22222     0.1061870   175.775     0.1306194
  217    0.04148    24.11060     0.0614013   180.827     0.1445136
  218    0.04167    24.00000     0.0272966   196.989     0.0912162
  219    0.04186    23.89041     0.0123715   266.507     0.0412344
  220    0.04205    23.78182     0.0159481   -59.882     0.0358527
  221    0.04224    23.67421     0.0189672   245.424     0.0174959
  222    0.04243    23.56757     0.0967289   200.575     0.0268303
  223    0.04262    23.46188     0.1453011   191.613     0.0341106
  224    0.04281    23.35714     0.1450415   187.781     0.0384058
  225    0.04300    23.25333     0.1571831   185.352     0.0397674
  226    0.04320    23.15044     0.1680138   183.206     0.0407697
  227    0.04339    23.04846     0.1686929   182.078     0.0434762
  228    0.04358    22.94737     0.1733658   182.679     0.0454916
  229    0.04377    22.84716     0.1799917   183.923     0.0457378
  230    0.04396    22.74783     0.1901322   184.730     0.0472561
  231    0.04415    22.64935     0.1953875   185.679     0.0505634
  232    0.04434    22.55172     0.1963077   186.642     0.0518059
  233    0.04453    22.45494     0.1959084   186.124     0.0496908
  234    0.04472    22.35897     0.1953385   184.230     0.0475134
  235    0.04492    22.26383     0.1906540   183.834     0.0460659
  236    0.04511    22.16949     0.1949009   184.433     0.0458562
  237    0.04530    22.07595     0.2027615   183.403     0.0460190
  238    0.04549    21.98319     0.1944313   182.378     0.0442209
  239    0.04568    21.89121     0.1837904   183.472     0.0423803
  240    0.04587    21.80000     0.1929859   183.926     0.0441121
  241    0.04606    21.70954     0.2058799   182.323     0.0468516
  242    0.04625    21.61983     0.2040214   180.958     0.0472403
  243    0.04644    21.53086     0.2022633   180.835     0.0471779
  244    0.04664    21.44262     0.2117969   180.806     0.0480261
  245    0.04683    21.35510     0.2160566   179.966     0.0472882
  246    0.04702    21.26829     0.2040547   179.114     0.0445699
  247    0.04721    21.18219     0.1881873   178.973     0.0423034
  248    0.04740    21.09678     0.1830170   179.538     0.0411978
  249    0.04759    21.01205     0.1857495   180.272     0.0406235
  250    0.04778    20.92800     0.1872161   180.270     0.0406290
  251    0.04797    20.84462     0.1791158   179.675     0.0401260
  252    0.04817    20.76191     0.1704678   180.360     0.0389210
  253    0.04836    20.67984     0.1739382   182.759     0.0383510
  254    0.04855    20.59842     0.1773931   184.666     0.0382013
  255    0.04874    20.51765     0.1742911   184.414     0.0383561
  256    0.04893    20.43750     0.1709359   182.310     0.0400467
  257    0.04912    20.35798     0.1723662   179.875     0.0427645
  258    0.04931    20.27907     0.1750091   178.677     0.0442831
  259    0.04950    20.20077     0.1832160   179.156     0.0445609
  260    0.04969    20.12308     0.1970663   179.914     0.0450841
  261    0.04989    20.04598     0.2094847   179.508     0.0463062
  262    0.05008    19.96947     0.2153403   178.414     0.0469072
  263    0.05027    19.89354     0.2152694   177.196     0.0459880
